shot	flexnum
20180317v007   16425
20180418v010   27907
20180509v008   29214
20180418v008   29665
20180223v016   31769
20180321v025   31077
20180409v008   31573
20180416v009   32400
20180215v011   33587
20180316v010   34429
20180321v010   29695
20180418v009   28282
20180418v007   27682
20180515v011   42754
20180511v024   44002
20180513v012   43401
20180515v009   42844
20180507v015   43716
20180507v009   44438
20180513v009   42874
20180513v007   44272
20180313v011   31183
20180508v008   43626
20180321v026   31588
20180416v008   32055
20180510v015   45700
20180511v022   44934
20180222v015   31378
20180514v014   45129
20180505v008   44978
20180514v012   46345
20180316v012   33873
20180505v007   43115
20180510v010   43897
20180515v013   42844
20180516v009   43912
20180515v012   42664
20180515v010   42709
20180511v023   41447
20180516v017   44843
20180514v011   43971
20180508v007   44092
20180507v008   42664
20180508v016   44197
20180507v014   44242
20180511v026   45234
20180517v013   44589
20180513v008   44873
20180513v010   44994
20180516v021   45024
20180517v009   45339
20180515v005   44422
20180516v019   46105
20180511v009   46030
20180518v010   41718
20180517v018   44874
20180514v013   45834
20180518v012   44482
20180515v014   42995
20180520v008   37599
20180516v012   43897
20180518v014   43611
20180519v011   42469
20180519v009   43776
20180519v013   42950
20180516v018   44438
20180611v018   42093
20180520v010   43160
20180520v012   43476
20180612v017   44302
20180517v011   44964
20180612v015   44122
20180612v019   43280
20180518v011   42860
20180517v014   44257
20180516v022   44994
20180613v012   43982
20180516v020   44693
20180613v016   45414
20180518v009   43761
20180613v018   44347
20180518v013   43024
20180520v011   29468
20180613v020   44723
20180520v009   43385
20180519v010   42394
20180614v017   44468
20180519v012   42859
20181215v036   39660
20180519v008   44182
20181203v014   45927
20181203v021   42876
20180519v015   44287
20181228v015   43493
20180612v014   44513
20180612v021   42258
20180612v018   43791
20180612v016   44272
20181210v010   46167
20180611v017   44392
20180613v014   42859
20181203v017   31179
20180613v017   44422
20181210v013   49803
20180613v019   43565
20180614v015   43085
20181204v022   42831
20190101v012   53781
20180618v015   41416
20181228v012   43897
20190104v023   48662
20190101v014   51066
20190108v003   40215
20190105v028   46078
20190101v016   53516
20181215v035   37887
20190104v009   51201
20190105v014   50586
20181210v012   45460
20190108v019   44199
20190104v025   52795
20190105v026   51624
20190105v022   53021
20190105v030   51593
20190105v012   52794
20190112v025   48843
20190101v011   54493
20190106v009   53064
20190112v027   48721
20190112v029   49458
20190114v018   49068
20190108v013   44710
20190116v019   49023
20190105v029   51684
20190104v024   51562
20190101v013   52629
20190201v017   48150
20190129v014   52344
20190104v008   49443
20190112v023   48933
20190104v022   50465
20190105v015   52284
20190101v015   53757
20190108v002   40560
20190202v014   51306
20190105v025   50541
20190105v031   51172
20190105v011   52930
20190112v026   49743
20190105v027   53035
20190112v028   44709
20190105v013   54072
20190202v016   52269
20190112v030   48556
20190116v018   49849
20190207v022   47626
20190207v020   48543
20190204v018   49038
20190125v010   50856
20190203v022   51231
20190208v029   45897
20190208v024   49488
20190205v023   51096
20190201v018   49428
20190208v026   49308
20190201v016   50751
20190202v015   48978
20190203v019   49714
20190207v021   48423
20190207v023   50075
20190208v028   47069
20190204v014   52059
20190208v025   48963
20190205v022   51021
20190209v024   50224
20190205v024   52193
