shot ifuamp
20190101v011 024AA
20190101v011 046RL
20190101v011 046RU
20190101v011 062LU
20190101v011 083RL
20190101v011 083RU
20190101v011 095RU
20190101v011 096LU
20190101v011 104LL
20190101v011 104LU
20190101v011 105LU
20190101v011 106RU
20190101v012 024AA
20190101v012 037LU
20190101v012 046RL
20190101v012 046RU
20190101v012 062LU
20190101v012 083RL
20190101v012 083RU
20190101v012 092LU
20190101v012 092LL
20190101v012 094RU
20190101v012 095RU
20190101v012 096LU
20190101v012 105LU
20190101v012 106RU
20190101v013 024AA
20190101v013 026AA
20190101v013 046RL
20190101v013 046RU
20190101v013 083RL
20190101v013 083RU
20190101v013 094RU
20190101v013 095RU
20190101v013 096LU
20190101v013 097AA
20190101v013 105LU
20190101v013 106RU
20190101v014 024AA
20190101v014 046RL
20190101v014 046RU
20190101v014 083RL
20190101v014 083RU
20190101v014 094RU
20190101v014 095RU
20190101v014 095RL
20190101v014 096LU
20190101v014 097RU
20190101v014 097RL
20190101v014 105LU
20190101v014 106RL
20190101v014 106RU
20190101v015 024AA
20190101v015 046RL
20190101v015 046RU
20190101v015 083RL
20190101v015 083RU
20190101v015 092LU
20190101v015 092LL
20190101v015 094RU
20190101v015 095RU
20190101v015 095RL
20190101v015 096LU
20190101v015 105LU
20190101v015 106RL
20190101v015 106RU
20190101v016 024AA
20190101v016 046RL
20190101v016 046RU
20190101v016 083RL
20190101v016 083RU
20190101v016 095RU
20190101v016 095RL
20190101v016 096LU
20190101v016 097AA
20190101v016 105LU
20190101v016 106RL
20190101v016 106RU
20190104v008 024AA
20190104v008 046RL
20190104v008 046RU
20190104v008 047LU
20190104v008 062LU
20190104v008 075LL
20190104v008 083RL
20190104v008 083RU
20190104v008 094RU
20190104v008 095RU
20190104v008 095RL
20190104v008 096LU
20190104v008 097AA
20190104v008 105LU
20190104v008 106RU
20190104v009 024AA
20190104v009 046RL
20190104v009 046RU
20190104v009 083RL
20190104v009 083RU
20190104v009 095RU
20190104v009 096LU
20190104v009 097AA
20190104v009 105LU
20190104v009 106RL
20190104v009 106RU
20190104v010 024AA
20190104v010 046RL
20190104v010 046RU
20190104v010 062LU
20190104v010 083RL
20190104v010 083RU
20190104v010 094RU
20190104v010 095RU
20190104v010 096LU
20190104v010 097AA
20190104v010 105LU
20190104v010 106RL
20190104v010 106RU
20190104v011 024AA
20190104v011 046RL
20190104v011 046RU
20190104v011 083RL
20190104v011 083RU
20190104v011 094RU
20190104v011 095RU
20190104v011 096LU
