detectid vis_class flag z counterpart comments
2101630806 -1 1 -1.0 -1 ?
2101631009 5 1 -1.0 -1 ?
2101631050 5 1 -1.0 -1 ?
2101631071 5 1 -1.0 -1 ?
2101631111 -1 1 -1.0 -1 ?
2101631301 3 1 -1.0 -1 ?
2101631361 0 1 -1.0 -1 ?
2101631442 0 1 -1.0 -1 ?
2101631507 -1 1 -1.0 -1 ?
2101631559 5 1 -1.0 -1 ?
2101631790 2 1 -1.0 -1 ?
2101672022 -1 1 -1.0 -1 ?
2101672053 -1 1 -1.0 -1 ?
2101672141 0 1 -1.0 -1 ?
2101672453 3 1 -1.0 -1 ?
2101672484 5 1 -1.0 -1 ?
2101672485 5 1 -1.0 -1 ?
2101672617 5 1 -1.0 -1 ?
2101673059 0 1 -1.0 -1 ?
2101673331 4 1 -1.0 -1 ?
2101673574 2 1 -1.0 -1 ?
2101673663 4 1 -1.0 -1 ?
2101673816 4 1 -1.0 -1 ?
2101673838 5 1 -1.0 -1 ?
2101673839 5 1 -1.0 -1 ?
2101673951 5 1 -1.0 -1 ?
2101674072 5 1 -1.0 -1 ?
2101674073 4 1 -1.0 -1 ?
2101674092 0 1 -1.0 -1 ?
2101674318 4 1 -1.0 -1 ?
2101674450 5 1 -1.0 -1 ?
2101836393 5 1 -1.0 -1 ?
2101836608 0 1 -1.0 -1 ?
2101836863 1 1 -1.0 -1 ?
2101836895 0 1 -1.0 -1 ?
2101836931 5 1 -1.0 -1 ?
2101837168 5 1 -1.0 -1 ?
2101837505 5 1 -1.0 -1 ?
2101837533 5 1 -1.0 -1 ?
2101837534 0 1 -1.0 -1 ?
2101837536 0 1 -1.0 -1 ?
2101837537 5 1 -1.0 -1 ?
2101837559 1 1 -1.0 -1 ?
2101837667 5 1 -1.0 -1 ?
2101840616 0 1 -1.0 -1 ?
2101840888 5 1 -1.0 -1 ?
2101841138 2 1 -1.0 -1 ?
2101841298 5 1 -1.0 -1 ?
2101841304 0 1 -1.0 -1 ?
2101841532 -1 1 -1.0 -1 ?
2101841589 4 1 -1.0 -1 ?
2101841674 5 1 -1.0 -1 ?
2101841858 0 1 -1.0 -1 ?
2101842400 5 1 -1.0 -1 ?
2101842567 3 1 -1.0 -1 ?
2101842587 4 1 -1.0 -1 ?
2101843013 5 1 -1.0 -1 ?
2101843014 5 1 -1.0 -1 ?
2101843064 5 1 -1.0 -1 ?
2101843231 3 1 -1.0 -1 ?
2101843561 0 1 -1.0 -1 ?
2101843865 0 1 -1.0 -1 ?
2101843965 0 1 -1.0 -1 ?
2101844271 1 1 -1.0 -1 ?
2101844499 0 1 -1.0 -1 ?
2101844801 -1 1 -1.0 -1 ?
2102122835 -1 1 -1.0 -1 ?
2102122836 -1 1 -1.0 -1 ?
2102122837 -1 1 -1.0 -1 ?
2102122838 -1 1 -1.0 -1 ?
2102122839 -1 1 -1.0 -1 ?
2102122840 -1 1 -1.0 -1 ?
2102122841 -1 1 -1.0 -1 ?
2102122842 -1 1 -1.0 -1 ?
2102122843 -1 1 -1.0 -1 ?
2102122844 -1 1 -1.0 -1 ?
2102122845 -1 1 -1.0 -1 ?
2102122846 -1 1 -1.0 -1 ?
2102122847 -1 1 -1.0 -1 ?
2102122848 -1 1 -1.0 -1 ?
2102122849 -1 1 -1.0 -1 ?
2102122850 -1 1 -1.0 -1 ?
2102122852 -1 1 -1.0 -1 ?
2102122853 -1 1 -1.0 -1 ?
2102122883 4 1 -1.0 -1 ?
2102123057 4 1 -1.0 -1 ?
2102123117 4 1 -1.0 -1 ?
2102123273 5 1 -1.0 -1 ?
2102123519 4 1 -1.0 -1 ?
2102123601 5 1 -1.0 -1 ?
2102123603 4 1 -1.0 -1 ?
2102123604 0 1 -1.0 -1 ?
2102123740 4 1 -1.0 -1 ?
