# detectid vis_class shotid
2101630721 5 20200107026
2101630773 5 20200107026
2101630838 5 20200107026
2101630898 5 20200107026
2101630991 5 20200107026
2101631012 5 20200107026
2101631033 5 20200107026
2101631048 5 20200107026
2101631109 5 20200107026
2101631122 5 20200107026
2101631158 5 20200107026
2101631234 5 20200107026
2101631301 5 20200107026
2101631322 5 20200107026
2101631339 5 20200107026
2101631410 5 20200107026
2101631442 5 20200107026
2101631443 5 20200107026
2101631494 5 20200107026
2101631507 5 20200107026
2101631569 5 20200107026
2101631606 5 20200107026
2101631666 5 20200107026
2101631687 5 20200107026
2101631738 5 20200107026
2101631755 5 20200107026
2101631804 5 20200107026
2101631834 5 20200107026
